127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/libs/angular-utf8-base64.min.js?_=9.1.1 HTTP/1.1" 200 2108
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/libs/ui-grid.min.js?_=9.1.1 HTTP/1.1" 200 88949
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/app.js?_=9.1.1 HTTP/1.1" 200 5537
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/controllers/login.js?_=9.1.1 HTTP/1.1" 200 3966
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/services.js?_=9.1.1 HTTP/1.1" 200 3465
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/controllers/index.js?_=9.1.1 HTTP/1.1" 200 1523
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/libs/d3.js?_=9.1.1 HTTP/1.1" 200 61840
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/controllers/logging.js?_=9.1.1 HTTP/1.1" 200 1788
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/controllers/cloud.js?_=9.1.1 HTTP/1.1" 200 9408
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/controllers/collections.js?_=9.1.1 HTTP/1.1" 200 2602
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/controllers/threads.js?_=9.1.1 HTTP/1.1" 200 2023
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/controllers/cores.js?_=9.1.1 HTTP/1.1" 200 1743
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/controllers/core-overview.js?_=9.1.1 HTTP/1.1" 200 1014
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/controllers/java-properties.js?_=9.1.1 HTTP/1.1" 200 1619
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/controllers/alias-overview.js?_=9.1.1 HTTP/1.1" 200 1076
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/controllers/collection-overview.js?_=9.1.1 HTTP/1.1" 200 1411
127.0.0.1 - - [14/Feb/2023:06:24:13 +0000] "GET /solr/js/angular/controllers/documents.js?_=9.1.1 HTTP/1.1" 200 1622
