127.0.0.1 - - [29/Mar/2023:16:05:59 +0000] "GET /solr/admin/info/system?wt=json HTTP/1.1" 200 4292
127.0.0.1 - - [29/Mar/2023:16:06:13 +0000] "GET /solr/ HTTP/1.1" 200 3317
127.0.0.1 - - [29/Mar/2023:16:06:13 +0000] "GET /solr/admin/cores?_=1680105973583&indexInfo=false&wt=json HTTP/1.1" 200 551
127.0.0.1 - - [29/Mar/2023:16:06:13 +0000] "GET /solr/admin/info/system?_=1680105973583&wt=json HTTP/1.1" 200 1394
127.0.0.1 - - [29/Mar/2023:16:06:13 +0000] "GET /solr/admin/info/system?_=1680105973583&wt=json HTTP/1.1" 200 1392
127.0.0.1 - - [29/Mar/2023:16:06:20 +0000] "GET /solr/admin/cores?_=1680105973583&indexInfo=false&wt=json HTTP/1.1" 200 551
127.0.0.1 - - [29/Mar/2023:16:06:20 +0000] "GET /solr/movie_db/admin/luke?_=1680105980515&numTerms=0&show=index&wt=json HTTP/1.1" 200 764
127.0.0.1 - - [29/Mar/2023:16:06:20 +0000] "GET /solr/movie_db/replication?_=1680105980515&command=details&wt=json HTTP/1.1" 200 986
127.0.0.1 - - [29/Mar/2023:16:06:20 +0000] "GET /solr/movie_db/admin/ping?_=1680105973583&action=status&ts=1680105973583&wt=json HTTP/1.1" 503 461
127.0.0.1 - - [29/Mar/2023:16:06:20 +0000] "GET /solr/admin/info/system?_=1680105973583&wt=json HTTP/1.1" 200 1396
127.0.0.1 - - [29/Mar/2023:16:06:20 +0000] "GET /solr/movie_db/admin/system?_=1680105980515&wt=json HTTP/1.1" 200 1541
127.0.0.1 - - [29/Mar/2023:16:06:34 +0000] "GET /solr/movie_db/spell?indent=true&q.op=AND&rows=20&useParams=&q=body:(was%20Justice%20League%20that%20bad)movie_name:(*)Auto_labeller_eval_subj:(*)Auto_labeller_eval_pol:(*)&sort=utc_datetime%20desc&facet=true&facet.contains.ignoreCase=true&facet.field=Auto_labeller_eval_subj&facet.field=Auto_labeller_eval_pol HTTP/1.1" 200 4509
127.0.0.1 - - [29/Mar/2023:16:06:55 +0000] "GET /solr/movie_db/admin/ping?_=1680105973583&ts=1680105973583&wt=json HTTP/1.1" 200 330
127.0.0.1 - - [29/Mar/2023:16:06:58 +0000] "GET /solr/admin/cores?_=1680105973583&indexInfo=false&wt=json HTTP/1.1" 200 551
127.0.0.1 - - [29/Mar/2023:16:06:58 +0000] "GET /solr/movie_db/config/params?_=1680106018020&wt=json HTTP/1.1" 200 89
127.0.0.1 - - [29/Mar/2023:16:06:58 +0000] "GET /solr/admin/info/system?_=1680105973583&wt=json HTTP/1.1" 200 1397
127.0.0.1 - - [29/Mar/2023:16:07:03 +0000] "GET /solr/admin/cores?_=1680105973583&indexInfo=false&wt=json HTTP/1.1" 200 551
127.0.0.1 - - [29/Mar/2023:16:07:03 +0000] "GET /solr/movie_db/config/params?_=1680106018020&wt=json HTTP/1.1" 200 89
127.0.0.1 - - [29/Mar/2023:16:07:03 +0000] "GET /solr/movie_db/select?_=1680106018020&indent=true&q=body;(was+Justice+League+that+bad)&q.op=OR&useParams= HTTP/1.1" 200 284
127.0.0.1 - - [29/Mar/2023:16:07:03 +0000] "GET /solr/admin/info/system?_=1680105973583&wt=json HTTP/1.1" 200 1396
127.0.0.1 - - [29/Mar/2023:16:07:12 +0000] "GET /solr/movie_db/config/params?_=1680106018020&wt=json HTTP/1.1" 200 89
127.0.0.1 - - [29/Mar/2023:16:07:12 +0000] "GET /solr/admin/cores?_=1680105973583&indexInfo=false&wt=json HTTP/1.1" 200 551
127.0.0.1 - - [29/Mar/2023:16:07:12 +0000] "GET /solr/movie_db/select?_=1680106018020&indent=true&q=body:(was+Justice+League+that+bad)&q.op=OR&useParams= HTTP/1.1" 200 2876
127.0.0.1 - - [29/Mar/2023:16:07:12 +0000] "GET /solr/admin/info/system?_=1680105973583&wt=json HTTP/1.1" 200 1395
127.0.0.1 - - [29/Mar/2023:16:07:19 +0000] "GET /solr/movie_db/config/params?_=1680106018020&wt=json HTTP/1.1" 200 89
127.0.0.1 - - [29/Mar/2023:16:07:19 +0000] "GET /solr/admin/cores?_=1680105973583&indexInfo=false&wt=json HTTP/1.1" 200 551
127.0.0.1 - - [29/Mar/2023:16:07:19 +0000] "GET /solr/movie_db/select?_=1680106018020&indent=true&q=body:(was+Justice+League+that+bad)&q.op=AND&useParams= HTTP/1.1" 200 4448
127.0.0.1 - - [29/Mar/2023:16:07:19 +0000] "GET /solr/admin/info/system?_=1680105973583&wt=json HTTP/1.1" 200 1400
127.0.0.1 - - [29/Mar/2023:16:07:29 +0000] "GET /solr/admin/cores?_=1680105973583&indexInfo=false&wt=json HTTP/1.1" 200 551
127.0.0.1 - - [29/Mar/2023:16:07:29 +0000] "GET /solr/movie_db/config/params?_=1680106018020&wt=json HTTP/1.1" 200 89
127.0.0.1 - - [29/Mar/2023:16:07:29 +0000] "GET /solr/movie_db/select?_=1680106018020&indent=true&q=body:(was+Justice+League+that+bad)&q.op=AND&useParams= HTTP/1.1" 200 4448
127.0.0.1 - - [29/Mar/2023:16:07:29 +0000] "GET /solr/admin/info/system?_=1680105973583&wt=json HTTP/1.1" 200 1393
127.0.0.1 - - [29/Mar/2023:16:07:40 +0000] "GET /solr/movie_db/spell?indent=true&q.op=AND&rows=20&useParams=&q=body:(was%20Justice%20League%20that%20bad)movie_name:(*)Auto_labeller_eval_subj:(*)Auto_labeller_eval_pol:(*)&sort=utc_datetime%20desc&facet=true&facet.contains.ignoreCase=true&facet.field=Auto_labeller_eval_subj&facet.field=Auto_labeller_eval_pol HTTP/1.1" 200 4507
127.0.0.1 - - [29/Mar/2023:16:07:41 +0000] "GET /solr/movie_db/spell?indent=true&q.op=AND&rows=20&useParams=&q=body:(was%20Justice%20League%20that%20bad)movie_name:(*)Auto_labeller_eval_subj:(*)Auto_labeller_eval_pol:(*)&sort=utc_datetime%20desc&facet=true&facet.contains.ignoreCase=true&facet.field=Auto_labeller_eval_subj&facet.field=Auto_labeller_eval_pol HTTP/1.1" 200 4507
127.0.0.1 - - [29/Mar/2023:16:07:41 +0000] "GET /solr/movie_db/spell?indent=true&q.op=AND&rows=20&useParams=&q=body:(was%20Justice%20League%20that%20bad)movie_name:(*)Auto_labeller_eval_subj:(*)Auto_labeller_eval_pol:(*)&sort=utc_datetime%20desc&facet=true&facet.contains.ignoreCase=true&facet.field=Auto_labeller_eval_subj&facet.field=Auto_labeller_eval_pol HTTP/1.1" 200 4507
127.0.0.1 - - [29/Mar/2023:16:07:41 +0000] "GET /solr/movie_db/spell?indent=true&q.op=AND&rows=20&useParams=&q=body:(was%20Justice%20League%20that%20bad)movie_name:(*)Auto_labeller_eval_subj:(*)Auto_labeller_eval_pol:(*)&sort=utc_datetime%20desc&facet=true&facet.contains.ignoreCase=true&facet.field=Auto_labeller_eval_subj&facet.field=Auto_labeller_eval_pol HTTP/1.1" 200 4507
127.0.0.1 - - [29/Mar/2023:16:07:41 +0000] "GET /solr/movie_db/spell?indent=true&q.op=AND&rows=20&useParams=&q=body:(was%20Justice%20League%20that%20bad)movie_name:(*)Auto_labeller_eval_subj:(*)Auto_labeller_eval_pol:(*)&sort=utc_datetime%20desc&facet=true&facet.contains.ignoreCase=true&facet.field=Auto_labeller_eval_subj&facet.field=Auto_labeller_eval_pol HTTP/1.1" 200 4507
127.0.0.1 - - [29/Mar/2023:16:07:46 +0000] "GET /solr/movie_db/spell?indent=true&q.op=AND&rows=20&useParams=&q=body:(was%20Justice%20League%20that%20bad)movie_name:(*)Auto_labeller_eval_subj:(*)Auto_labeller_eval_pol:(*)&sort=utc_datetime%20desc&facet=true&facet.contains.ignoreCase=true&facet.field=Auto_labeller_eval_subj&facet.field=Auto_labeller_eval_pol HTTP/1.1" 200 4507
